iter	Logloss
0	0.6174650477
1	0.5732328739
2	0.5365781126
3	0.4998364561
4	0.4831918286
5	0.4536088362
6	0.4323245257
7	0.4227493192
8	0.4134034656
9	0.4073205717
10	0.395115292
11	0.386671103
12	0.3785714658
13	0.3690428423
14	0.3627726997
15	0.3567704435
16	0.3504189535
17	0.3433549652
18	0.3391709976
19	0.333052666
20	0.3298754843
21	0.3253391386
22	0.3248284361
23	0.3230718915
24	0.3214002035
25	0.3191565564
26	0.3166651426
27	0.3138616918
28	0.30900679
29	0.306874785
30	0.3045895384
31	0.3038506107
32	0.3028523383
33	0.3013947706
34	0.2992686777
35	0.2956375832
36	0.2934069566
37	0.2920717166
38	0.2910904226
39	0.2895340643
40	0.2864152683
41	0.282903053
42	0.2828878418
43	0.2812489882
44	0.2795973363
45	0.2791230276
46	0.2760738739
47	0.2745926909
48	0.2739268072
49	0.2717710571
50	0.2696643149
51	0.2666907801
52	0.2639857522
53	0.2623561411
54	0.2610017849
55	0.2593524849
56	0.2587489035
57	0.2583533325
58	0.2557433125
59	0.2543302002
60	0.253216167
61	0.2513518516
62	0.2506089661
63	0.2495015749
64	0.2489650954
65	0.247367419
66	0.2465191931
67	0.2443918144
68	0.2432974315
69	0.2428809599
70	0.2423694478
71	0.2421005954
72	0.2408137921
73	0.23978586
74	0.2385769912
75	0.2379243847
76	0.2372234046
77	0.2360487477
78	0.2350414638
79	0.2325297135
80	0.2304267537
81	0.2292059017
82	0.2279912941
83	0.2277994505
84	0.2259172839
85	0.2250681313
86	0.2230024824
87	0.2212182603
88	0.2191511784
89	0.2185976993
90	0.2172499719
91	0.2169714656
92	0.216461737
93	0.2146438843
94	0.2145852917
95	0.2143373746
96	0.2124468783
97	0.2104323029
98	0.2096161665
99	0.2090628509
100	0.208035599
101	0.2078961142
102	0.206941892
103	0.2049637456
104	0.2030504861
105	0.2020169712
106	0.201244559
107	0.2010589293
108	0.1994191126
109	0.1974480585
110	0.1960649656
111	0.1955880585
112	0.1947478623
113	0.1936584009
114	0.1933119063
115	0.1925894546
116	0.1916099725
117	0.1912940733
118	0.1907379394
119	0.1905157893
120	0.1899211503
121	0.1891271404
122	0.1878664185
123	0.187191937
124	0.1856689127
125	0.1852198801
126	0.1835640879
127	0.1815303946
128	0.1813569848
129	0.1803748247
130	0.1793162885
131	0.179243155
132	0.1778074877
133	0.1773210522
134	0.1766881311
135	0.1751009826
136	0.1743720105
137	0.1739568331
138	0.1731398114
139	0.1724592111
140	0.1707738788
141	0.169962111
142	0.1689678272
143	0.168485446
144	0.1680754893
145	0.1674483352
146	0.1664534998
147	0.1663785104
148	0.1659064536
149	0.1651145322
150	0.1640185588
151	0.1632406467
152	0.162404243
153	0.1615407987
154	0.1603729021
155	0.1602985593
156	0.1601491427
157	0.1592324981
158	0.1583295812
159	0.1573091338
160	0.156211014
161	0.1560384847
162	0.1547264862
163	0.1546880574
164	0.1544477566
165	0.1543507928
166	0.1530103059
167	0.1524021769
168	0.1512617952
169	0.1506513583
170	0.1496074924
171	0.1481924104
172	0.1472731217
173	0.1459329576
174	0.1450247173
175	0.1446386286
176	0.1443758679
177	0.1441391227
178	0.1441038214
